Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-5e-14	2	1.6e-13	2	0
0	-7e-14	2	1.6e-13	1.9	1e-14
0	-2e-14	2	1.6e-13	1.8	-4e-14
0	-2e-14	2	1.3e-13	1.7	-7e-14
0	0	2	1.2e-13	1.6	-3e-14
0	-1e-14	2	1.5e-13	1.5	-2e-14
0	3e-14	2	1.6e-13	1.4	-5e-14
0	3e-14	2	1.3e-13	1.3	-2e-14
0	1e-14	2	1.6e-13	1.2	-5e-14
0	-1e-14	2	1.7e-13	1.1	-4e-14
0	-2e-14	2	1.7e-13	1	-5e-14
0	1e-14	2	1.3e-13	0.9	-2e-14
0	2e-14	2	1.4e-13	0.8	-4e-14
0	3e-14	2	1.3e-13	0.7	-3e-14
0	4e-14	2	1.6e-13	0.6	-3e-14
0	4e-14	2	1.7e-13	0.5	-4e-14
0	2e-14	2	1.2e-13	0.4	-4e-14
0	3e-14	2	1.8e-13	0.3	-5e-14
0	1e-14	2	1.2e-13	0.2	-7e-14
0	2e-14	2	1.3e-13	0.1	-5e-14
0	1e-14	2	1.7e-13	0	-6e-14
0	5e-14	2	1.2e-13	-0.1	-4e-14
0	3e-14	2	1.5e-13	-0.2	-5e-14
0	4e-14	2	1.5e-13	-0.3	-4e-14
0	3e-14	2	1.3e-13	-0.4	-4e-14
0	4e-14	2	1.3e-13	-0.5	-4e-14
0	7e-14	2	1.4e-13	-0.6	-4e-14
0	5e-14	2	1.3e-13	-0.7	-8e-14
0	4e-14	2	1.7e-13	-0.8	-5e-14
0	3e-14	2	1.5e-13	-0.9	-6e-14
0	1e-14	2	1.4e-13	-1	-8e-14
0	2e-14	2	1.2e-13	-1.1	-7e-14
0	4e-14	2	1.4e-13	-1.2	-4e-14
0	2e-14	2	1.5e-13	-1.3	-4e-14
0	5e-14	2	1.4e-13	-1.4	-6e-14
0	7e-14	2	1.5e-13	-1.5	-6e-14
0	3e-14	2	1.3e-13	-1.6	-8e-14
0	5e-14	2	1.2e-13	-1.7	-7e-14
0	5e-14	2	1.5e-13	-1.8	-9e-14
0	0	2	1.6e-13	-1.9	-6e-14
0	8e-14	2	1.4e-13	-2	-1e-13
0	6e-14	2	1.5e-13	-2.1	-8e-14
0	3e-14	2	1.3e-13	-2.2	-8e-14
0	9e-14	2	1.2e-13	-2.3	-7e-14
0	1e-13	2	1.2e-13	-2.4	-4e-14
0	6e-14	2	1.3e-13	-2.5	-8e-14
0	6e-14	2	1.3e-13	-2.6	-6e-14
0	8e-14	2	1.3e-13	-2.7	-9e-14
0	7e-14	2	1.4e-13	-2.8	-7e-14
0	7e-14	2	1.6e-13	-2.9	-7e-14
0	8e-14	2	1.5e-13	-3	-8e-14
0	6e-14	2	1.6e-13	-3.1	-1.1e-13
0	7e-14	2	1.1e-13	-3.2	-8e-14
0	5e-14	2	1.6e-13	-3.3	-8e-14
0	8e-14	2	1.4e-13	-3.4	-7e-14
0	8e-14	2	1.3e-13	-3.5	-1.2e-13
0	6e-14	2	1.5e-13	-3.6	-1e-13
0	6e-14	2	1.6e-13	-3.7	-1e-13
0	1e-13	2	1.4e-13	-3.8	-8e-14
0	6e-14	2	1.5e-13	-3.9	-9e-14
0	9e-14	2	1.4e-13	-4	-1e-13
0	7e-14	2	1.7e-13	-4.1	-1.4e-13
0	7e-14	2	1.4e-13	-4.2	-6e-14
0	7e-14	2	1.3e-13	-4.3	-1e-13
0	6e-14	2	1.3e-13	-4.4	-8e-14
0	7e-14	2	1.6e-13	-4.5	-1.1e-13
0	6e-14	2	1.5e-13	-4.6	-1.4e-13
0	1e-13	2	1.6e-13	-4.7	-9e-14
0	6e-14	2	1.2e-13	-4.8	-1.2e-13
0	5e-14	2	1.6e-13	-4.9	-1e-13
0	9e-14	2	1.3e-13	-5	-1.2e-13
0	6e-14	2	1.4e-13	-5.1	-1.1e-13
0	1.2e-13	2	1.2e-13	-5.2	-1.2e-13
0	9e-14	2	1.5e-13	-5.3	-9e-14
0	7e-14	2	1.4e-13	-5.4	-1.4e-13
0	1e-13	2	1.5e-13	-5.5	-1.1e-13
0	7e-14	2	1.6e-13	-5.6	-1.4e-13
0	9e-14	2	1.2e-13	-5.7	-1.2e-13
0	1e-13	2	1.4e-13	-5.8	-1.2e-13
0	9e-14	2	1.5e-13	-5.9	-1.1e-13
0	1.1e-13	2	1.6e-13	-6	-1.5e-13
0	1e-13	2	1.2e-13	-6.1	-9e-14
0	1.1e-13	2	1.9e-13	-6.2	-1.2e-13
0	9e-14	2	1.4e-13	-6.3	-1.4e-13
0	1e-13	2	1.9e-13	-6.4	-1.5e-13
0	1e-13	2	1.1e-13	-6.5	-1.6e-13
0	1.4e-13	2	1.4e-13	-6.6	-1.5e-13
0	1.1e-13	2	1.5e-13	-6.7	-1.3e-13
0	1.1e-13	2	1.2e-13	-6.8	-1.3e-13
0	1.4e-13	2	1.5e-13	-6.9	-1.4e-13
0	1.1e-13	2	1.5e-13	-7	-1.6e-13
0	1.3e-13	2	1.6e-13	-7.1	-1.3e-13
0	1.4e-13	2	1.4e-13	-7.2	-1.4e-13
0	1.1e-13	2	1.6e-13	-7.3	-1.2e-13
0	1.1e-13	2	1.1e-13	-7.4	-1.5e-13
0	1.5e-13	2	1.7e-13	-7.5	-1.8e-13
0	1.6e-13	2	1.7e-13	-7.6	-2e-13
0	1.6e-13	2	1.5e-13	-7.7	-2e-13
0	1.8e-13	2	1.6e-13	-7.8	-1.9e-13
0	1.5e-13	2	1.3e-13	-7.9	-1.5e-13
0	1.9e-13	2	1.3e-13	-8	-2e-13
0	1.6e-13	2	1.4e-13	-8.1	-1.8e-13
0	1.5e-13	2	1.5e-13	-8.2	-2e-13
0	1.5e-13	2	1.6e-13	-8.3	-2.2e-13
0	2e-13	2	1e-13	-8.4	-2.1e-13
0	2.3e-13	2	1.4e-13	-8.5	-2e-13
0	1.8e-13	2	1.5e-13	-8.6	-1.9e-13
0	2e-13	2	1.5e-13	-8.7	-2.3e-13
0	2.2e-13	2	1.4e-13	-8.8	-2.1e-13
0	2.1e-13	2	1.3e-13	-8.9	-2e-13
0	1.9e-13	2	1.5e-13	-9	-2.4e-13
0	1.8e-13	2	1.4e-13	-9.1	-2.4e-13
0	2.1e-13	2	1.6e-13	-9.2	-2.3e-13
0	2.4e-13	2	1.5e-13	-9.3	-2.9e-13
0	2.7e-13	2	1.4e-13	-9.4	-2.7e-13
0	2.7e-13	2	1.2e-13	-9.5	-2.9e-13
0	2.9e-13	2	1.6e-13	-9.6	-3.1e-13
0	2.6e-13	2	1.7e-13	-9.7	-2.9e-13
0	3.3e-13	2	1.4e-13	-9.8	-3.1e-13
0	3.4e-13	2	1.3e-13	-9.9	-3.2e-13
0	3.8e-13	2	1.6e-13	-10	-3.9e-13
0	4.9e-13	2	1.2e-13	-10.1	-4e-13
0	4.5e-13	2	1.4e-13	-10.2	-3.6e-13
0	4.1e-13	2	1.3e-13	-10.3	-4.1e-13
0	4.1e-13	2	1.5e-13	-10.4	-4.4e-13
0	4e-13	2	1.5e-13	-10.5	-4.1e-13
0	4.2e-13	2	1.4e-13	-10.6	-3.9e-13
0	3.7e-13	2	1.4e-13	-10.7	-3.8e-13
0	3.8e-13	2	1.3e-13	-10.8	-3.9e-13
0	4e-13	2	1.5e-13	-10.9	-4.4e-13
0	4.4e-13	2	1.4e-13	-11	-4.4e-13
0	5.5e-13	2	1.3e-13	-11.1	-5.4e-13
0	4.9e-13	2	1.2e-13	-11.2	-5.4e-13
0	5.4e-13	2	1.6e-13	-11.3	-7.7e-13
0	7.1e-13	2	1.5e-13	-11.4	-8.9e-13
0	9e-13	2	1.2e-13	-11.5	-7.5e-13
0	6.5e-13	2	1.6e-13	-11.6	-6.7e-13
0	6.5e-13	2	1.5e-13	-11.7	-6.1e-13
0	6.5e-13	2	1.6e-13	-11.8	-6.5e-13
0	6.5e-13	2	1.3e-13	-11.9	-6.5e-13
0	7.6e-13	2	1.5e-13	-12	-7e-13
0	8.1e-13	2	1.5e-13	-12.1	-1e-12
0	8.2e-13	2	1e-13	-12.2	-1.07e-12
0	2.1e-12	2	1.5e-13	-12.3	-8.4e-13
0	7.9e-13	2	1.3e-13	-12.4	-8e-13
0	7.6e-13	2	1e-13	-12.5	-1.4e-12
0	1.79e-12	2	1.6e-13	-12.6	-2.39e-12
0	2.64e-12	2	1.2e-13	-12.7	-2.42e-12
0	3.11e-12	2	1.7e-13	-12.8	-3.47e-12
0	3.19e-12	2	1.6e-13	-12.9	-3.72e-12
0	3.85e-12	2	1.2e-13	-13	-4.44e-12
0	3.04e-12	2	1.5e-13	-13.1	-4.12e-12
0	4.43e-12	2	1.9e-13	-13.2	-2.94e-12
0	2.15e-12	2	1.6e-13	-13.3	-3.48e-12
0	4.18e-12	2	1.5e-13	-13.4	-9.78e-12
0	6.92e-12	2	1.7e-13	-13.5	-7.21e-12
0	7.25e-12	2	1.4e-13	-13.6	-6.34e-12
0	7.99e-12	2	1.4e-13	-13.7	-9.33e-12
0	9.49e-12	2	1.5e-13	-13.8	-1.171e-11
0	1.034e-11	2	1.6e-13	-13.9	-1.485e-11
0	2.19e-11	2	1.6e-13	-14	-3.91e-11
0	2.976e-11	2	1.4e-13	-14.1	-2.435e-11
0	1.488e-11	2	1.7e-13	-14.2	-1.688e-11
0	1.933e-11	2	1.2e-13	-14.3	-1.504e-11
0	1.35e-11	2	1.6e-13	-14.4	-1.715e-11
0	1.459e-11	2	1.4e-13	-14.5	-1.682e-11
0	1.831e-11	2	1.7e-13	-14.6	-2.868e-11
0	2.037e-11	2	1.9e-13	-14.7	-1.838e-11
0	2.443e-11	2	1.5e-13	-14.8	-2.82e-11
0	3.5972e-10	2	1.2e-13	-14.9	-1.41071e-09
0	2.00668e-09	2	1.6e-13	-15	-3.7523e-10
