Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-6.6187e-05	2	6.59531e-05	2	1e-14
0	-6.62733e-05	2	6.61132e-05	1.9	-4e-14
0	-6.62307e-05	2	6.61285e-05	1.8	-5e-14
0	-6.59045e-05	2	6.60053e-05	1.7	-1e-14
0	-6.62906e-05	2	6.62308e-05	1.6	-6e-14
0	-6.63314e-05	2	6.59681e-05	1.5	1e-14
0	-6.60603e-05	2	6.59514e-05	1.4	-7e-14
0	-6.62016e-05	2	6.60939e-05	1.3	1e-14
0	-6.6037e-05	2	6.57156e-05	1.2	0
0	-6.6095e-05	2	6.59376e-05	1.1	-1.4e-13
0	-6.58042e-05	2	6.57954e-05	1	-6e-14
0	-6.61407e-05	2	6.61375e-05	0.9	-8e-14
0	-6.62721e-05	2	6.61346e-05	0.8	-1e-14
0	-6.61598e-05	2	6.63803e-05	0.7	-2e-14
0	-6.60793e-05	2	6.60561e-05	0.6	-4e-14
0	-6.64234e-05	2	6.65693e-05	0.5	-3e-14
0	-6.66058e-05	2	6.65793e-05	0.4	-5e-14
0	-6.64766e-05	2	6.63511e-05	0.3	-7e-14
0	-6.63503e-05	2	6.62087e-05	0.2	-1.3e-13
0	-6.56178e-05	2	6.55351e-05	0.1	-1.9e-13
0	-6.56971e-05	2	6.55117e-05	0	-8e-14
0	-6.54901e-05	2	6.55519e-05	-0.1	-1.4e-13
0	-6.60081e-05	2	6.60742e-05	-0.2	-1.3e-13
0	-6.59074e-05	2	6.57456e-05	-0.3	-9e-14
0	-6.63801e-05	2	6.62486e-05	-0.4	-1.3e-13
0	-6.67411e-05	2	6.66777e-05	-0.5	-1.2e-13
0	-6.67436e-05	2	6.67434e-05	-0.6	-6e-14
0	-6.64814e-05	2	6.63723e-05	-0.7	-1.1e-13
0	-6.62332e-05	2	6.63769e-05	-0.8	-9e-14
0	-6.66117e-05	2	6.64654e-05	-0.9	-1.2e-13
0	-6.64249e-05	2	6.64551e-05	-1	-1.9e-13
0	-6.63682e-05	2	6.64439e-05	-1.1	-1.6e-13
0	-6.68982e-05	2	6.68892e-05	-1.2	-4e-14
0	-6.63401e-05	2	6.62628e-05	-1.3	-1.7e-13
0	-6.60457e-05	2	6.61381e-05	-1.4	-1.7e-13
0	-6.62804e-05	2	6.6499e-05	-1.5	-2.1e-13
0	-6.69959e-05	2	6.70136e-05	-1.6	-1.7e-13
0	-6.68895e-05	2	6.71354e-05	-1.7	-1.4e-13
0	-6.69035e-05	2	6.68873e-05	-1.8	-2e-13
