Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-7.03836e-05	2	7.04277e-05	-15	-3.7e-13
0	-7.03535e-05	2	7.03242e-05	-14.9	-3.7e-13
0	-7.03297e-05	2	7.0321e-05	-14.8	-3.8e-13
0	-7.02975e-05	2	7.02615e-05	-14.7	-3.9e-13
0	-7.02298e-05	2	7.00651e-05	-14.6	-3.6e-13
0	-7.00258e-05	2	7.01193e-05	-14.5	-3.1e-13
0	-7.00967e-05	2	7.02329e-05	-14.4	-3.4e-13
0	-7.04392e-05	2	7.04514e-05	-14.3	-3.4e-13
0	-7.02162e-05	2	7.03754e-05	-14.2	-3.4e-13
0	-7.02574e-05	2	7.03201e-05	-14.1	-2.9e-13
0	-7.02005e-05	2	7.02693e-05	-14	-2.9e-13
0	-7.03467e-05	2	7.04567e-05	-13.9	-2.7e-13
0	-7.03711e-05	2	7.04079e-05	-13.8	-3e-13
0	-7.04453e-05	2	7.05162e-05	-13.7	-3.2e-13
0	-7.02935e-05	2	7.04103e-05	-13.6	-2.5e-13
0	-7.03602e-05	2	7.02513e-05	-13.5	-2.2e-13
0	-7.03926e-05	2	7.04463e-05	-13.4	-2.4e-13
0	-7.04349e-05	2	7.04926e-05	-13.3	-2.8e-13
0	-7.03771e-05	2	7.01359e-05	-13.2	-2.7e-13
0	-7.02272e-05	2	7.0478e-05	-13.1	-2.5e-13
0	-7.01495e-05	2	7.04243e-05	-13	-2.7e-13
0	-7.05108e-05	2	7.03821e-05	-12.9	-2.2e-13
0	-7.03243e-05	2	7.03721e-05	-12.8	-2.3e-13
0	-7.03758e-05	2	7.03401e-05	-12.7	-1.9e-13
0	-7.03397e-05	2	7.03995e-05	-12.6	-2.2e-13
0	-7.06144e-05	2	7.06922e-05	-12.5	-2e-13
0	-7.06564e-05	2	7.07377e-05	-12.4	-2.4e-13
0	-7.06786e-05	2	7.06894e-05	-12.3	-2.2e-13
0	-7.06457e-05	2	7.06499e-05	-12.2	-2.3e-13
0	-7.05863e-05	2	7.0595e-05	-12.1	-2e-13
0	-7.05992e-05	2	7.04879e-05	-12	-2.2e-13
0	-7.02199e-05	2	7.02292e-05	-11.9	-2.3e-13
0	-7.04015e-05	2	7.02988e-05	-11.8	-2.1e-13
0	-7.03653e-05	2	7.04285e-05	-11.7	-1.7e-13
0	-7.02284e-05	2	7.03372e-05	-11.6	-2.1e-13
0	-7.01884e-05	2	7.01898e-05	-11.5	-1.4e-13
0	-7.0274e-05	2	7.03292e-05	-11.4	-2e-13
0	-7.01483e-05	2	7.02062e-05	-11.3	-2e-13
0	-7.01185e-05	2	7.0095e-05	-11.2	-1.7e-13
0	-7.01077e-05	2	7.01177e-05	-11.1	-1.4e-13
0	-7.01051e-05	2	7.01316e-05	-11	-1.5e-13
0	-7.01632e-05	2	7.0193e-05	-10.9	-1.9e-13
0	-7.00395e-05	2	6.99738e-05	-10.8	-1.9e-13
0	-6.99428e-05	2	6.99582e-05	-10.7	-1.7e-13
0	-6.9897e-05	2	6.9916e-05	-10.6	-1.6e-13
0	-7.00017e-05	2	6.99025e-05	-10.5	-1.2e-13
0	-7.00666e-05	2	7.00579e-05	-10.4	-1.6e-13
0	-7.00422e-05	2	7.00338e-05	-10.3	-1.4e-13
0	-7.01076e-05	2	7.00624e-05	-10.2	-1.8e-13
0	-7.01152e-05	2	7.00974e-05	-10.1	-1.9e-13
0	-7.01611e-05	2	7.01429e-05	-10	-1.3e-13
0	-7.01694e-05	2	7.02621e-05	-9.9	-1.7e-13
0	-7.04017e-05	2	7.04189e-05	-9.8	-1.6e-13
0	-7.05098e-05	2	7.05193e-05	-9.7	-1.2e-13
0	-7.03629e-05	2	7.03519e-05	-9.6	-1.2e-13
0	-7.04511e-05	2	7.03265e-05	-9.5	-1.6e-13
0	-7.03877e-05	2	7.03321e-05	-9.4	-1.4e-13
0	-7.03379e-05	2	7.03434e-05	-9.3	-1.4e-13
0	-7.01047e-05	2	7.02981e-05	-9.2	-1.4e-13
0	-7.02531e-05	2	7.02786e-05	-9.1	-1.3e-13
0	-7.03506e-05	2	7.04299e-05	-9	-1.3e-13
0	-7.03775e-05	2	7.03025e-05	-8.9	-1.5e-13
0	-7.02401e-05	2	7.03163e-05	-8.8	-1.6e-13
0	-7.03128e-05	2	7.03254e-05	-8.7	-1.1e-13
0	-7.03343e-05	2	7.03372e-05	-8.6	-1.4e-13
0	-7.02589e-05	2	7.02845e-05	-8.5	-1.5e-13
0	-7.03262e-05	2	7.0398e-05	-8.4	-1.8e-13
0	-7.03113e-05	2	7.03728e-05	-8.3	-1.2e-13
0	-7.02496e-05	2	7.02625e-05	-8.2	-1.1e-13
0	-7.02051e-05	2	7.02952e-05	-8.1	-1.4e-13
0	-7.02579e-05	2	7.02598e-05	-8	-1.3e-13
0	-7.017e-05	2	7.02109e-05	-7.9	-1.3e-13
0	-7.02172e-05	2	7.03307e-05	-7.8	-1.2e-13
0	-7.02838e-05	2	7.02391e-05	-7.7	-1.1e-13
0	-7.01212e-05	2	7.00902e-05	-7.6	-1.1e-13
0	-7.02172e-05	2	7.0326e-05	-7.5	-1.2e-13
0	-7.03255e-05	2	7.0366e-05	-7.4	-1.2e-13
0	-7.01642e-05	2	7.01836e-05	-7.3	-1.1e-13
0	-7.02251e-05	2	7.01296e-05	-7.2	-1.1e-13
0	-7.01608e-05	2	7.01381e-05	-7.1	-1.3e-13
0	-7.00946e-05	2	7.0235e-05	-7	-9e-14
0	-7.01564e-05	2	7.01545e-05	-6.9	-9e-14
0	-7.02278e-05	2	7.02451e-05	-6.8	-9e-14
0	-7.01874e-05	2	7.01099e-05	-6.7	-1.1e-13
0	-7.01785e-05	2	7.01776e-05	-6.6	-1.2e-13
0	-7.0194e-05	2	7.01486e-05	-6.5	-7e-14
0	-7.02128e-05	2	7.03795e-05	-6.4	-9e-14
0	-7.05195e-05	2	7.04286e-05	-6.3	-1e-13
0	-7.04453e-05	2	7.04157e-05	-6.2	-1.1e-13
0	-7.04039e-05	2	7.04524e-05	-6.1	-1.2e-13
0	-7.04086e-05	2	7.04858e-05	-6	-1e-13
0	-7.04527e-05	2	7.04151e-05	-5.9	-6e-14
0	-7.04703e-05	2	7.0464e-05	-5.8	-8e-14
0	-7.04315e-05	2	7.04597e-05	-5.7	-1.7e-13
0	-7.04638e-05	2	7.0407e-05	-5.6	-8e-14
0	-7.04069e-05	2	7.03838e-05	-5.5	-6e-14
0	-7.03893e-05	2	7.03794e-05	-5.4	-9e-14
0	-7.05277e-05	2	7.06255e-05	-5.3	-7e-14
0	-7.06092e-05	2	7.05814e-05	-5.2	-9e-14
0	-7.06003e-05	2	7.05481e-05	-5.1	-5e-14
0	-7.06302e-05	2	7.06863e-05	-5	-1e-13
0	-7.05884e-05	2	7.06236e-05	-4.9	-4e-14
0	-7.06108e-05	2	7.06327e-05	-4.8	-6e-14
0	-7.06582e-05	2	7.06999e-05	-4.7	-5e-14
0	-7.04884e-05	2	7.05191e-05	-4.6	-9e-14
0	-7.05901e-05	2	7.05718e-05	-4.5	-1.1e-13
0	-7.05915e-05	2	7.05715e-05	-4.4	-8e-14
0	-7.05341e-05	2	7.04967e-05	-4.3	-7e-14
0	-7.04465e-05	2	7.05048e-05	-4.2	-8e-14
0	-7.04265e-05	2	7.04874e-05	-4.1	-6e-14
