Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-0.000127918	2	0.000127766	2	-4e-14
0	-0.000127899	2	0.000127893	1.9	-7e-14
0	-0.000127735	2	0.000127821	1.8	-5e-14
0	-0.000127849	2	0.000127949	1.7	-7e-14
0	-0.000128114	2	0.00012814	1.6	-6e-14
0	-0.000128099	2	0.000127995	1.5	5e-14
0	-0.000128332	2	0.000128003	1.4	-9e-14
0	-0.000128092	2	0.000128313	1.3	-9e-14
0	-0.000128119	2	0.000128106	1.2	-2e-14
0	-0.000128051	2	0.000127951	1.1	-5e-14
0	-0.000127951	2	0.000127911	1	1e-14
0	-0.000127912	2	0.000127925	0.9	-4e-14
0	-0.000127847	2	0.000128097	0.8	-6e-14
0	-0.000128148	2	0.000128038	0.7	-2e-14
0	-0.00012781	2	0.000128029	0.6	-1e-14
0	-0.000128096	2	0.000127905	0.5	-8e-14
0	-0.000128024	2	0.000128289	0.4	-4e-14
0	-0.000128412	2	0.000128476	0.3	-5e-14
0	-0.000128492	2	0.000128714	0.2	-9e-14
0	-0.000128527	2	0.000128565	0.1	-4e-14
0	-0.000128784	2	0.00012856	0	2e-14
0	-0.000128281	2	0.0001283	-0.1	-1e-14
0	-0.0001284	2	0.000128361	-0.2	-4e-14
0	-0.000128435	2	0.00012846	-0.3	1e-14
0	-0.000128464	2	0.000128505	-0.4	-7e-14
0	-0.000128188	2	0.000128242	-0.5	-8e-14
0	-0.000128268	2	0.000128292	-0.6	-2e-14
0	-0.000128268	2	0.000128061	-0.7	-1.1e-13
0	-0.000128729	2	0.000128599	-0.8	-7e-14
0	-0.000128413	2	0.000128672	-0.9	4e-14
0	-0.000128687	2	0.000128686	-1	0
0	-0.000129106	2	0.000128767	-1.1	-1.1e-13
0	-0.000128945	2	0.000128993	-1.2	-8e-14
0	-0.000128655	2	0.000128719	-1.3	-9e-14
0	-0.000128391	2	0.000128412	-1.4	-1.2e-13
0	-0.000128748	2	0.000128746	-1.5	-1.2e-13
0	-0.000128263	2	0.000128175	-1.6	-8e-14
0	-0.000128045	2	0.000128037	-1.7	-1.1e-13
0	-0.000128082	2	0.000128107	-1.8	-6e-14
0	-0.000128272	2	0.000128289	-1.9	-4e-14
0	-0.000128421	2	0.000128336	-2	-1e-14
0	-0.000128434	2	0.000128224	-2.1	-4e-14
