Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-1.50679e-06	2	1.38698e-06	2	9.92853e-08
0	-1.51749e-06	2	1.30604e-06	1.95	1.115877e-07
0	-1.26567e-06	2	1.14595e-06	1.9	9.1959e-08
0	-1.29412e-06	2	1.16254e-06	1.85	7.20025e-08
0	-1.26526e-06	2	1.19763e-06	1.8	5.64847e-08
0	-1.25392e-06	2	1.21818e-06	1.75	4.46375e-08
0	-1.26904e-06	2	1.22202e-06	1.7	2.9482e-08
0	-1.26985e-06	2	1.2562e-06	1.65	2.61014e-08
0	-1.34832e-06	2	1.23871e-06	1.6	2.52126e-08
0	-1.2568e-06	2	1.21819e-06	1.55	1.68395e-08
0	-1.26061e-06	2	1.25513e-06	1.5	1.19098e-08
0	-1.27022e-06	2	1.27041e-06	1.45	7.06022e-09
0	-1.33643e-06	2	1.2937e-06	1.4	5.93572e-09
0	-1.26286e-06	2	1.28307e-06	1.35	3.88933e-09
0	-1.28235e-06	2	1.31225e-06	1.3	1.91633e-09
0	-1.31933e-06	2	1.27902e-06	1.25	7.7773e-10
0	-1.20923e-06	2	1.17885e-06	1.2	7.5767e-10
0	-1.30961e-06	2	1.33739e-06	1.15	-1.37341e-09
0	-1.33868e-06	2	1.36154e-06	1.1	-3.16564e-09
0	-1.32975e-06	2	1.34896e-06	1.05	-4.62627e-09
0	-1.44286e-06	2	1.49623e-06	1	-8.8646e-09
0	-1.52787e-06	2	1.55956e-06	0.95	-1.55975e-08
0	-1.49675e-06	2	1.46767e-06	0.9	-2.58158e-08
0	-1.45173e-06	2	1.50267e-06	0.85	-2.39485e-08
0	-1.48064e-06	2	1.5422e-06	0.8	-4.96732e-08
0	-1.47975e-06	2	1.54498e-06	0.75	-5.38947e-08
0	-1.40963e-06	2	1.48612e-06	0.7	-6.66278e-08
0	-1.40102e-06	2	1.51648e-06	0.65	-7.75018e-08
0	-1.3938e-06	2	1.47869e-06	0.6	-8.34935e-08
0	-1.39007e-06	2	1.47165e-06	0.55	-1.019143e-07
0	-1.43994e-06	2	1.54129e-06	0.5	-1.2769e-07
0	-1.44367e-06	2	1.63574e-06	0.45	-1.79035e-07
0	-1.43675e-06	2	1.67195e-06	0.4	-2.0543e-07
0	-1.41567e-06	2	1.51937e-06	0.35	-2.36846e-07
0	-1.32178e-06	2	1.64992e-06	0.3	-1.89333e-07
0	-1.30502e-06	2	1.53152e-06	0.25	-2.40305e-07
0	-1.15472e-06	2	1.43747e-06	0.2	-2.91307e-07
0	-1.16268e-06	2	1.51673e-06	0.15	-3.85516e-07
0	-1.07723e-06	2	1.46305e-06	0.1	-4.38429e-07
0	-1.09366e-06	2	1.64059e-06	0.05	-5.81769e-07
0	-1.08132e-06	2	1.68065e-06	0	-5.47297e-07
0	-9.832e-07	2	1.60207e-06	-0.05	-6.24548e-07
0	-9.23692e-07	2	1.53907e-06	-0.1	-5.31339e-07
0	-9.94849e-07	2	1.41611e-06	-0.15	-4.70538e-07
