Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-4.6693e-05	2	4.30852e-05	2	2.66894e-06
0	-4.62058e-05	2	4.40769e-05	1.95	2.22452e-06
0	-4.70137e-05	2	4.47631e-05	1.9	1.96389e-06
0	-4.6585e-05	2	4.55199e-05	1.85	1.71227e-06
0	-4.68759e-05	2	4.47569e-05	1.8	1.61462e-06
0	-4.63631e-05	2	4.48183e-05	1.75	1.41838e-06
0	-4.69355e-05	2	4.58736e-05	1.7	1.16289e-06
0	-4.64659e-05	2	4.55204e-05	1.65	9.91169e-07
0	-4.56467e-05	2	4.4591e-05	1.6	8.70383e-07
0	-4.56054e-05	2	4.41859e-05	1.55	7.5544e-07
0	-4.46207e-05	2	4.42848e-05	1.5	6.36511e-07
0	-4.48051e-05	2	4.32954e-05	1.45	5.39222e-07
0	-4.53014e-05	2	4.48072e-05	1.4	4.08502e-07
0	-4.40889e-05	2	4.41364e-05	1.35	3.22143e-07
0	-4.45213e-05	2	4.39456e-05	1.3	2.63735e-07
0	-4.41208e-05	2	4.44538e-05	1.25	1.90352e-07
0	-4.47413e-05	2	4.42517e-05	1.2	1.38254e-07
0	-4.42154e-05	2	4.39435e-05	1.15	1.08705e-07
0	-4.3969e-05	2	4.33442e-05	1.1	7.51122e-08
0	-4.30462e-05	2	4.26512e-05	1.05	4.93501e-08
0	-4.48195e-05	2	4.40464e-05	1	3.12167e-08
0	-4.3764e-05	2	4.3872e-05	0.95	1.99374e-08
0	-4.39646e-05	2	4.3377e-05	0.9	1.07441e-08
0	-4.41446e-05	2	4.49819e-05	0.85	3.575e-09
0	-4.52281e-05	2	4.5303e-05	0.8	1.8054e-09
0	-4.46457e-05	2	4.49055e-05	0.75	-1.4523e-10
0	-4.44404e-05	2	4.43849e-05	0.7	-1.58e-09
0	-4.52236e-05	2	4.5235e-05	0.65	-3.84775e-09
0	-4.49938e-05	2	4.50887e-05	0.6	-5.47004e-09
0	-4.4983e-05	2	4.47239e-05	0.55	-9.51608e-09
0	-4.4545e-05	2	4.45072e-05	0.5	-1.58127e-08
0	-4.41419e-05	2	4.45971e-05	0.45	-2.45813e-08
0	-4.5611e-05	2	4.55241e-05	0.4	-3.38989e-08
0	-4.53777e-05	2	4.52593e-05	0.35	-4.72342e-08
0	-4.57068e-05	2	4.59568e-05	0.3	-6.90759e-08
0	-4.67212e-05	2	4.71968e-05	0.25	-8.94695e-08
0	-4.57827e-05	2	4.55447e-05	0.2	-1.09189e-07
0	-4.56614e-05	2	4.52491e-05	0.15	-1.18912e-07
0	-4.4336e-05	2	4.37992e-05	0.1	-1.64922e-07
0	-4.54683e-05	2	4.50917e-05	0.05	-2.01641e-07
0	-4.57524e-05	2	4.58072e-05	0	-2.324e-07
0	-4.48121e-05	2	4.50563e-05	-0.05	-2.49712e-07
0	-4.42594e-05	2	4.47948e-05	-0.1	-2.84057e-07
0	-4.49875e-05	2	4.55178e-05	-0.15	-3.20014e-07
0	-4.53809e-05	2	4.54774e-05	-0.2	-3.64075e-07
0	-4.4726e-05	2	4.45284e-05	-0.25	-4.11909e-07
0	-4.41854e-05	2	4.4551e-05	-0.3	-4.00773e-07
0	-4.36462e-05	2	4.42382e-05	-0.35	-4.50816e-07
0	-4.42335e-05	2	4.44688e-05	-0.4	-4.99998e-07
0	-4.39982e-05	2	4.50029e-05	-0.45	-5.32749e-07
0	-4.40173e-05	2	4.49107e-05	-0.5	-5.95263e-07
0	-4.48227e-05	2	4.54092e-05	-0.55	-6.44601e-07
0	-4.58907e-05	2	4.65653e-05	-0.6	-7.31349e-07
0	-4.56376e-05	2	4.6801e-05	-0.65	-7.42062e-07
0	-4.60391e-05	2	4.68701e-05	-0.7	-8.18194e-07
0	-4.59871e-05	2	4.62128e-05	-0.75	-8.69198e-07
0	-4.55352e-05	2	4.69091e-05	-0.8	-9.51061e-07
0	-4.55837e-05	2	4.64023e-05	-0.85	-1.035295e-06
0	-4.51238e-05	2	4.59337e-05	-0.9	-1.075772e-06
0	-4.49327e-05	2	4.58283e-05	-0.95	-1.09425e-06
0	-4.45299e-05	2	4.59376e-05	-1	-1.24375e-06
0	-4.40769e-05	2	4.58748e-05	-1.05	-1.30969e-06
0	-4.42288e-05	2	4.5673e-05	-1.1	-1.33115e-06
0	-4.47269e-05	2	4.62747e-05	-1.15	-1.42588e-06
0	-4.41553e-05	2	4.60536e-05	-1.2	-1.43899e-06
0	-4.46509e-05	2	4.63168e-05	-1.25	-1.49392e-06
0	-4.46656e-05	2	4.62602e-05	-1.3	-1.59876e-06
0	-4.46523e-05	2	4.62842e-05	-1.35	-1.71307e-06
0	-4.43958e-05	2	4.64962e-05	-1.4	-1.81142e-06
0	-4.46737e-05	2	4.66003e-05	-1.45	-1.90116e-06
0	-4.42079e-05	2	4.6813e-05	-1.5	-1.87904e-06
0	-4.50414e-05	2	4.70081e-05	-1.55	-1.95023e-06
0	-4.48296e-05	2	4.73393e-05	-1.6	-2.10402e-06
0	-4.54699e-05	2	4.81202e-05	-1.65	-2.08807e-06
0	-4.55143e-05	2	4.80166e-05	-1.7	-2.25147e-06
0	-4.57913e-05	2	4.8315e-05	-1.75	-2.30073e-06
0	-4.60005e-05	2	4.82977e-05	-1.8	-2.40057e-06
0	-4.60368e-05	2	4.80629e-05	-1.85	-2.43695e-06
0	-4.60273e-05	2	4.83266e-05	-1.9	-2.56339e-06
0	-4.59264e-05	2	4.8568e-05	-1.95	-2.64861e-06
0	-4.57622e-05	2	4.83606e-05	-2	-2.78181e-06
0	-4.53838e-05	2	4.82437e-05	-2.05	-2.83594e-06
0	-4.59438e-05	2	4.87127e-05	-2.1	-3.02275e-06
0	-4.58287e-05	2	4.91864e-05	-2.15	-3.06642e-06
0	-4.55741e-05	2	4.85794e-05	-2.2	-3.04276e-06
0	-4.55189e-05	2	4.86322e-05	-2.25	-2.99507e-06
0	-4.58412e-05	2	4.85957e-05	-2.3	-2.95526e-06
0	-4.57359e-05	2	4.88162e-05	-2.35	-2.83841e-06
0	-4.52434e-05	2	4.81813e-05	-2.4	-2.87068e-06
0	-4.49753e-05	2	4.84172e-05	-2.45	-2.91394e-06
0	-4.52091e-05	2	4.8199e-05	-2.5	-2.97324e-06
0	-4.51089e-05	2	4.80002e-05	-2.55	-2.97962e-06
0	-4.54022e-05	2	4.85087e-05	-2.6	-3.00575e-06
0	-4.5351e-05	2	4.84155e-05	-2.65	-3.02731e-06
0	-4.57353e-05	2	4.88939e-05	-2.7	-2.97004e-06
0	-4.59183e-05	2	4.89595e-05	-2.75	-3.04615e-06
0	-4.56687e-05	2	4.8577e-05	-2.8	-2.98952e-06
0	-4.49169e-05	2	4.87557e-05	-2.85	-3.01148e-06
0	-4.58171e-05	2	4.87592e-05	-2.9	-2.90354e-06
0	-4.59097e-05	2	4.8723e-05	-2.95	-2.78231e-06
0	-4.57434e-05	2	4.88275e-05	-3	-2.87678e-06
0	-4.56133e-05	2	4.87244e-05	-3.05	-2.97151e-06
0	-4.57176e-05	2	4.87424e-05	-3.1	-3.06053e-06
0	-4.5638e-05	2	4.8899e-05	-3.15	-3.0665e-06
