Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-2.90425e-05	2	2.93166e-05	2	1.46908e-09
0	-2.96129e-05	2	2.97889e-05	1.9	8.0609e-10
0	-2.92462e-05	2	2.93197e-05	1.8	5.5187e-10
0	-2.90538e-05	2	2.92334e-05	1.7	4.2711e-10
0	-2.90938e-05	2	2.91364e-05	1.6	2.6834e-10
0	-2.89076e-05	2	2.87538e-05	1.5	1.8128e-10
0	-2.89987e-05	2	2.87314e-05	1.4	8.367e-11
0	-2.88134e-05	2	2.88924e-05	1.3	1.489e-11
0	-2.92428e-05	2	2.92646e-05	1.2	-2.5e-11
0	-2.92757e-05	2	2.90015e-05	1.1	-1.062e-10
0	-2.79334e-05	2	2.77449e-05	1	-1.2848e-10
0	-2.78834e-05	2	2.77411e-05	0.9	-1.8844e-10
0	-2.81241e-05	2	2.80443e-05	0.8	-1.8328e-10
0	-2.76916e-05	2	2.76496e-05	0.7	-1.9433e-10
0	-2.81845e-05	2	2.87389e-05	0.6	-2.3536e-10
0	-2.85449e-05	2	2.8291e-05	0.5	-2.255e-10
0	-2.8277e-05	2	2.81872e-05	0.4	-2.1022e-10
0	-2.77797e-05	2	2.78895e-05	0.3	-2.5038e-10
0	-2.78274e-05	2	2.77786e-05	0.2	-3.0254e-10
0	-2.80457e-05	2	2.82732e-05	0.1	-2.237e-08
0	-2.80065e-05	2	2.81167e-05	0	-5.66732e-08
0	-2.83068e-05	2	2.81806e-05	-0.1	-7.51407e-08
0	-2.79586e-05	2	2.81155e-05	-0.2	-5.23293e-07
0	-2.74272e-05	2	2.81716e-05	-0.3	-5.71613e-07
0	-2.74251e-05	2	2.82393e-05	-0.4	-8.33758e-07
0	-2.73237e-05	2	2.8482e-05	-0.5	-1.129823e-06
0	-2.66931e-05	2	2.82162e-05	-0.6	-1.94021e-06
0	-2.63428e-05	2	2.83239e-05	-0.7	-1.72648e-06
0	-2.58504e-05	2	2.90685e-05	-0.8	-2.92309e-06
0	-2.59695e-05	2	2.89192e-05	-0.9	-3.34897e-06
0	-2.52972e-05	2	2.90931e-05	-1	-3.50767e-06
0	-2.55484e-05	2	2.96267e-05	-1.1	-3.59309e-06
0	-2.50284e-05	2	3.03769e-05	-1.2	-4.7576e-06
0	-2.5205e-05	2	2.9983e-05	-1.3	-4.55349e-06
0	-2.53614e-05	2	3.02459e-05	-1.4	-4.83423e-06
0	-2.55409e-05	2	3.04171e-05	-1.5	-4.81555e-06
0	-2.57527e-05	2	3.10359e-05	-1.6	-5.31327e-06
0	-2.51607e-05	2	1.04869e-05	-1.7	-5.72927e-06
0	-2.42375e-05	2	2.98791e-05	-1.8	-6.0123e-06
0	-2.3452e-05	2	2.98991e-05	-1.9	-6.61775e-06
0	-2.26689e-05	2	2.99795e-05	-2	-7.40877e-06
0	-2.24333e-05	2	3.01308e-05	-2.1	-7.80109e-06
0	-2.13522e-05	2	2.97629e-05	-2.2	-8.1211e-06
0	-2.09384e-05	2	2.98146e-05	-2.3	-8.99524e-06
0	-2.03265e-05	2	3.00582e-05	-2.4	-9.6794e-06
0	-2.02628e-05	2	3.04834e-05	-2.5	-1.038885e-05
0	-1.95425e-05	2	3.09607e-05	-2.6	-1.128919e-05
0	-1.95424e-05	2	3.09795e-05	-2.7	-1.14213e-05
0	-1.93136e-05	2	3.15752e-05	-2.8	-1.19455e-05
0	-1.81128e-05	2	3.17352e-05	-2.9	-1.3805e-05
0	-1.75408e-05	2	3.20143e-05	-3	-1.43392e-05
0	-1.75092e-05	2	3.22648e-05	-3.1	-1.44548e-05
0	-1.74996e-05	2	3.16548e-05	-3.2	-1.43356e-05
0	-1.7017e-05	2	3.25651e-05	-3.3	-1.51596e-05
0	-1.66641e-05	2	3.29143e-05	-3.4	-1.6442e-05
0	-1.58069e-05	2	3.34814e-05	-3.5	-1.73485e-05
0	-1.5952e-05	2	3.37756e-05	-3.6	-1.80027e-05
0	-1.52486e-05	2	3.42478e-05	-3.7	-1.87362e-05
0	-1.55232e-05	2	3.56289e-05	-3.8	-2.20223e-05
0	-1.41178e-05	2	3.80653e-05	-3.9	-2.40095e-05
0	-1.31728e-05	2	3.88474e-05	-4	-2.60013e-05
0	-1.33393e-05	2	4.02919e-05	-4.1	-2.72682e-05
0	-1.2565e-05	2	4.03883e-05	-4.2	-2.81784e-05
0	-1.18096e-05	2	4.12616e-05	-4.3	-2.92032e-05
0	-1.14017e-05	2	4.21469e-05	-4.4	-2.98602e-05
0	-1.20395e-05	2	4.28699e-05	-4.5	-3.10154e-05
0	-1.18369e-05	2	4.43591e-05	-4.6	-3.32293e-05
0	-1.08156e-05	2	4.58588e-05	-4.7	-3.46789e-05
0	-1.06796e-05	2	4.64223e-05	-4.8	-3.58019e-05
0	-1.05064e-05	2	4.63411e-05	-4.9	-3.59801e-05
0	-9.70089e-06	2	4.72002e-05	-5	-3.70588e-05
0	-9.18337e-06	2	4.69476e-05	-5.1	-3.82412e-05
0	-8.63733e-06	2	4.83851e-05	-5.2	-3.91824e-05
0	-8.23941e-06	2	4.82467e-05	-5.3	-3.98222e-05
0	-7.26837e-06	2	4.86054e-05	-5.4	-4.12556e-05
0	-7.43868e-06	2	5.05665e-05	-5.5	-4.23083e-05
0	-7.12768e-06	2	5.03348e-05	-5.6	-4.28364e-05
0	-6.97795e-06	2	5.04904e-05	-5.7	-4.32857e-05
0	-6.5594e-06	2	5.10844e-05	-5.8	-4.43605e-05
0	-6.85202e-06	2	5.13034e-05	-5.9	-4.48198e-05
0	-6.42468e-06	2	5.16863e-05	-6	-4.55217e-05
0	-5.81382e-06	2	5.25893e-05	-6.1	-4.63689e-05
0	-5.89081e-06	2	5.35161e-05	-6.2	-4.70795e-05
0	-5.32555e-06	2	5.33985e-05	-6.3	-4.8582e-05
0	-4.22151e-06	2	5.5422e-05	-6.4	-5.28146e-05
0	-2.93525e-06	2	6.01856e-05	-6.5	-6.15328e-05
0	1.04458e-06	2	6.77034e-05	-6.6	-6.98312e-05
0	6.5438e-07	2	7.17784e-05	-6.7	-7.31887e-05
0	-1.2129e-10	2	6.21572e-05	-6.8	-6.48673e-05
0	-2.558e-11	2	6.61702e-05	-6.9	-6.36173e-05
0	3.71e-12	2	6.99676e-05	-7	-7.17307e-05
0	1.1045e-10	2	7.48092e-05	-7.1	-7.55517e-05
0	2.4773e-10	2	8.08698e-05	-7.2	-8.07345e-05
0	2.1409e-10	2	8.24215e-05	-7.3	-8.23577e-05
0	1.1523e-10	2	8.412e-05	-7.4	-8.46929e-05
0	3.4369e-10	2	8.81126e-05	-7.5	-8.93268e-05
0	1.33436e-09	2	9.52443e-05	-7.6	-9.68669e-05
0	4.06828e-09	2	0.0001008382	-7.7	-0.0001013988
0	5.05557e-09	2	0.0001034835	-7.8	-0.0001039659
0	2.74694e-09	2	0.0001055952	-7.9	-0.0001058729
0	5.4078e-09	2	0.0001082953	-8	-0.0001104869
0	5.85017e-09	2	0.0001131909	-8.1	-0.000129824
0	2.95264e-08	2	0.000140966	-8.2	-0.000142405
0	6.16668e-08	2	0.000145679	-8.3	-0.000148332
0	6.68928e-08	2	0.000152076	-8.4	-0.0001538
0	7.89539e-08	2	0.000157195	-8.5	-0.000158045
0	9.3395e-08	2	0.000160979	-8.6	-0.000160973
0	7.28759e-08	2	0.00016404	-8.7	-0.000164691
0	8.60039e-08	2	0.000168096	-8.8	-0.000169325
0	1.11442e-07	2	0.000170795	-8.9	-0.000171592
0	1.123233e-07	2	0.000172952	-9	-0.000172979
0	1.111784e-07	2	0.000174515	-9.1	-0.000174944
0	1.43347e-07	2	0.000176727	-9.2	-0.000176133
0	1.51714e-07	2	0.000178351	-9.3	-0.000179012
0	1.78517e-07	2	0.000180891	-9.4	-0.000181769
0	2.11884e-07	2	0.000183869	-9.5	-0.000185202
0	2.68235e-07	2	0.000185306	-9.6	-0.000187529
0	3.55546e-07	2	0.00018762	-9.7	-0.000183965
0	3.73931e-07	2	0.000189866	-9.8	-0.000191532
0	1.87081e-06	2	0.00018383	-9.9	-0.000193123
0	9.8009e-07	2	0.000195655	-10	-0.00019818
0	1.66927e-06	2	0.000199283	-10.1	-0.000200973
0	1.65098e-06	2	0.00020235	-10.2	-0.000204062
0	1.2831e-06	2	0.000203613	-10.3	-0.000204705
0	1.49431e-06	2	0.000205777	-10.4	-0.000208888
0	1.99265e-06	2	0.000206314	-10.5	-0.000211505
0	2.86519e-06	2	0.000183011	-10.6	-0.000225582
0	4.93026e-05	2	0.000179608	-10.7	-0.000229598
0	5.26371e-05	2	0.000182024	-10.8	-0.00023453
0	5.6554e-05	2	0.000180197	-10.9	-0.000238753
0	6.27905e-05	2	0.000179065	-11	-0.000238918
0	6.12302e-05	2	0.000182974	-11.1	-0.00024444
0	6.258e-05	2	0.000187558	-11.2	-0.000251158
0	6.54438e-05	2	0.000188246	-11.3	-0.000255756
0	7.01713e-05	2	0.000189419	-11.4	-0.000257829
0	6.92319e-05	2	0.000193024	-11.5	-0.000258172
0	6.80734e-05	2	0.000195267	-11.6	-0.000264599
0	6.2029e-05	2	0.000213347	-11.7	-0.000254535
0	2.46586e-05	2	0.000160982	-11.8	-0.000290369
0	0.000131678	2	0.000161276	-11.9	-0.000295684
0	0.000136305	2	0.000163341	-12	-0.000299295
0	0.000137096	2	0.000164702	-12.1	-0.00030252
0	0.000140571	2	0.000166478	-12.2	-0.000305109
0	0.000141252	2	0.000166887	-12.3	-0.000304964
0	0.000140204	2	0.000166056	-12.4	-0.000303246
0	0.000138361	2	0.000166841	-12.5	-0.000308518
0	0.000142497	2	0.000172468	-12.6	-0.000309128
0	0.000135279	2	0.000176303	-12.7	-0.000313637
0	0.00013929	2	0.000177135	-12.8	-0.000316135
0	0.000141662	2	0.00017779	-12.9	-0.000318978
0	0.000143889	2	0.000178836	-13	-0.000321617
0	0.000145065	2	0.000177576	-13.1	-0.000323648
0	0.000148171	2	0.000179305	-13.2	-0.000328969
0	0.000150877	2	0.00018115	-13.3	-0.000332293
0	0.000155294	2	0.000180991	-13.4	-0.000336678
0	0.00015957	2	0.000181036	-13.5	-0.000340391
0	0.000161888	2	0.000182484	-13.6	-0.000344657
0	0.000164765	2	0.0001839	-13.7	-0.000349056
0	0.000166675	2	0.000184402	-13.8	-0.000348911
0	0.00016833	2	0.000183491	-13.9	-0.000351298
0	0.000169593	2	0.000184268	-14	-0.000353441
0	0.000171046	2	0.000186331	-14.1	-0.000357561
0	0.000173561	2	0.000186885	-14.2	-0.000360869
0	0.000176825	2	0.000188069	-14.3	-0.00036473
0	0.000179806	2	0.000188894	-14.4	-0.000369357
0	0.000184426	2	0.00019105	-14.5	-0.00037859
0	0.000190944	2	0.000191843	-14.6	-0.000384266
0	0.000195603	2	0.000192735	-14.7	-0.00038993
0	0.000198573	2	0.000193	-14.8	-0.000390627
0	0.000200237	2	0.000193185	-14.9	-0.000391681
0	0.000200309	2	0.000195241	-15	-0.000396828
0	0.000203783	2	0.000195527	-15	-0.000401198
0	0.000204303	2	0.000194356	-14.9	-0.000398493
0	0.000200673	2	0.000193776	-14.8	-0.000392015
0	0.000195316	2	0.000192659	-14.7	-0.000388117
0	0.000192665	2	0.00019145	-14.6	-0.000383629
0	0.000189668	2	0.000190206	-14.5	-0.000379747
0	0.000188022	2	0.000189291	-14.4	-0.000374828
0	0.0001815	2	0.000188958	-14.3	-0.000369127
0	0.000177791	2	0.000188332	-14.2	-0.000366403
0	0.000175922	2	0.000187249	-14.1	-0.000363024
0	0.000173231	2	0.000185805	-14	-0.00035928
0	0.000169946	2	0.000186023	-13.9	-0.000355758
0	0.000167852	2	0.000184648	-13.8	-0.000352734
0	0.000166271	2	0.000183121	-13.7	-0.000347494
0	0.000162426	2	0.000182227	-13.6	-0.000344829
0	0.000159949	2	0.00018208	-13.5	-0.000341268
0	0.00015743	2	0.000180486	-13.4	-0.000338357
0	0.000155842	2	0.000179383	-13.3	-0.00033562
0	0.000153456	2	0.000179307	-13.2	-0.000332365
0	0.000151828	2	0.000178	-13.1	-0.000329434
0	0.000149852	2	0.000176825	-13	-0.000326157
0	0.000147546	2	0.00017575	-12.9	-0.000323234
0	0.000144849	2	0.000175191	-12.8	-0.000318931
0	0.000142012	2	0.00017388	-12.7	-0.000316397
0	0.00014011	2	0.000173631	-12.6	-0.000314306
0	0.000139019	2	0.00017327	-12.5	-0.00031348
0	0.000138436	2	0.000172414	-12.4	-0.000311549
0	0.000137784	2	0.000171304	-12.3	-0.00030916
0	0.000136189	2	0.000170112	-12.2	-0.000306836
0	0.000135204	2	0.000169184	-12.1	-0.000304362
0	0.000133049	2	0.000168092	-12	-0.000301684
0	0.000131401	2	0.000167043	-11.9	-0.000299236
0	0.000130451	2	0.000165858	-11.8	-0.000296954
0	0.000128901	2	0.00016545	-11.7	-0.000294067
0	0.000126733	2	0.000164801	-11.6	-0.000292183
0	0.000125507	2	0.000163831	-11.5	-0.000289238
0	0.000124264	2	0.000162963	-11.4	-0.000288025
0	0.000123582	2	0.000161538	-11.3	-0.000285592
0	0.00012194	2	0.000160683	-11.2	-0.000282839
0	0.000120337	2	0.000159624	-11.1	-0.0002803
0	0.000118547	2	0.000159087	-11	-0.000277511
0	0.000116418	2	0.000158107	-10.9	-0.000274388
0	0.000114465	2	0.000157168	-10.8	-0.000271925
0	0.000112984	2	0.000155858	-10.7	-0.000268523
0	0.00011116	2	0.000155057	-10.6	-0.00026595
0	0.000108931	2	0.000154064	-10.5	-0.000262907
0	0.000106704	2	0.000153047	-10.4	-0.000260081
0	0.000104935	2	0.000152336	-10.3	-0.000257232
0	0.00010299	2	0.000151372	-10.2	-0.000254757
0	0.000101673	2	0.000150181	-10.1	-0.000252154
0	0.000100088	2	0.000149458	-10	-0.000249209
0	9.7827e-05	2	0.000148531	-9.9	-0.000246705
0	9.63948e-05	2	0.00014746	-9.8	-0.000243937
0	9.45703e-05	2	0.000146559	-9.7	-0.000241298
0	9.30639e-05	2	0.000145453	-9.6	-0.000238947
0	9.13301e-05	2	0.000144671	-9.5	-0.000236082
0	8.95271e-05	2	0.000143871	-9.4	-0.000233652
0	8.79084e-05	2	0.000143054	-9.3	-0.000230958
0	8.62435e-05	2	0.000142124	-9.2	-0.000228307
0	8.39347e-05	2	0.000141427	-9.1	-0.000225197
0	8.20016e-05	2	0.000140725	-9	-0.000222976
0	8.08865e-05	2	0.000139638	-8.9	-0.000220386
0	7.91745e-05	2	0.000138574	-8.8	-0.000217674
