Vs	Is	Vd	Id	Vg	Ig	
V	A	V	A	V	A	
0	-6.35564e-05	2	6.45465e-05	2	3.68596e-09
0	-6.39002e-05	2	6.39309e-05	1.95	3.16595e-09
0	-6.64087e-05	2	6.72086e-05	1.9	3.3555e-09
0	-6.834e-05	2	7.01771e-05	1.85	2.98768e-09
0	-7.04771e-05	2	7.05828e-05	1.8	2.6e-09
0	-7.0702e-05	2	7.02008e-05	1.75	2.24164e-09
0	-7.0691e-05	2	6.92711e-05	1.7	1.93099e-09
0	-6.98419e-05	2	6.93558e-05	1.65	1.60924e-09
0	-6.8542e-05	2	6.88997e-05	1.6	1.24222e-09
0	-6.91412e-05	2	6.95378e-05	1.55	9.0158e-10
0	-6.89189e-05	2	6.87888e-05	1.5	6.8953e-10
0	-6.8608e-05	2	6.97423e-05	1.45	2.6992e-10
0	-6.93474e-05	2	6.92452e-05	1.4	1.3682e-10
0	-6.9916e-05	2	7.05371e-05	1.35	6.702e-11
0	-6.95563e-05	2	6.86762e-05	1.3	5.728e-11
0	-6.84244e-05	2	6.82595e-05	1.25	2.096e-11
0	-6.86207e-05	2	6.82239e-05	1.2	-9e-12
0	-6.72607e-05	2	6.67674e-05	1.15	-1.4168e-10
0	-6.77213e-05	2	6.82725e-05	1.1	-9.68e-12
0	-6.72185e-05	2	6.72182e-05	1.05	-4.53e-11
0	-6.83511e-05	2	6.82098e-05	1	-2.1096e-10
0	-6.81216e-05	2	6.89531e-05	0.95	-2.8056e-10
0	-6.78427e-05	2	6.79298e-05	0.9	-2.6124e-10
0	-6.70331e-05	2	6.75308e-05	0.85	-3.2593e-10
0	-6.72864e-05	2	6.71222e-05	0.8	-3.9879e-10
0	-6.76063e-05	2	6.78482e-05	0.75	-3.4098e-10
0	-6.78669e-05	2	6.82199e-05	0.7	-4.5622e-10
0	-6.76649e-05	2	6.71747e-05	0.65	-5.6369e-10
0	-6.80447e-05	2	6.80335e-05	0.6	-5.9874e-10
0	-6.82364e-05	2	6.86301e-05	0.55	-5.7251e-10
0	-6.77395e-05	2	6.72683e-05	0.5	-5.7959e-10
0	-6.67067e-05	2	6.69049e-05	0.45	-6.0725e-10
0	-6.78671e-05	2	6.80366e-05	0.4	-6.1431e-10
0	-6.77002e-05	2	6.76201e-05	0.35	-8.8733e-10
0	-6.71993e-05	2	6.72024e-05	0.3	-2.09625e-09
0	-6.74809e-05	2	6.76353e-05	0.25	-1.02251e-08
0	-6.8407e-05	2	6.8013e-05	0.2	-1.1261e-07
0	-6.78161e-05	2	6.84468e-05	0.15	-1.55335e-07
0	-6.85669e-05	2	6.7825e-05	0.1	-1.86415e-07
0	-6.98401e-05	2	6.5895e-05	0.05	-2.41308e-07
0	-6.7097e-05	2	6.56257e-05	0	-4.80741e-07
0	-6.64917e-05	2	6.66745e-05	-0.05	-6.7001e-07
0	-6.75323e-05	2	6.82701e-05	-0.1	-7.48866e-07
0	-6.8272e-05	2	6.89228e-05	-0.15	-8.98494e-07
0	-6.90296e-05	2	6.97548e-05	-0.2	-7.75901e-07
0	-6.89926e-05	2	6.95652e-05	-0.25	-9.35513e-07
0	-6.80379e-05	2	6.89852e-05	-0.3	-1.32683e-06
0	-6.75711e-05	2	6.9001e-05	-0.35	-1.50477e-06
0	-6.79777e-05	2	7.00256e-05	-0.4	-1.62941e-06
0	-6.70941e-05	2	6.83356e-05	-0.45	-1.77185e-06
0	-6.69864e-05	2	6.99103e-05	-0.5	-2.27688e-06
0	-6.67042e-05	2	6.93856e-05	-0.55	-2.47358e-06
0	-6.62801e-05	2	6.88879e-05	-0.6	-2.68589e-06
0	-6.64061e-05	2	6.91385e-05	-0.65	-3.00976e-06
0	-6.61025e-05	2	6.93159e-05	-0.7	-3.47491e-06
0	-6.59523e-05	2	7.0176e-05	-0.75	-3.80859e-06
0	-6.5531e-05	2	6.91547e-05	-0.8	-3.73549e-06
0	-6.61308e-05	2	7.03741e-05	-0.85	-3.82697e-06
0	-6.59951e-05	2	6.8204e-05	-0.9	-4.56997e-06
0	-6.48595e-05	2	6.98536e-05	-0.95	-4.70771e-06
0	-6.50498e-05	2	6.99754e-05	-1	-5.20271e-06
0	-6.43354e-05	2	6.98735e-05	-1.05	-5.7833e-06
0	-6.44646e-05	2	7.00011e-05	-1.1	-5.978e-06
0	-6.41577e-05	2	7.08808e-05	-1.15	-6.57253e-06
0	-6.40195e-05	2	7.10961e-05	-1.2	-6.88219e-06
0	-6.31e-05	2	7.07985e-05	-1.25	-6.9308e-06
0	-6.34945e-05	2	7.22164e-05	-1.3	-1.53423e-05
0	-5.75504e-05	2	7.42125e-05	-1.35	-1.4524e-05
0	-5.98936e-05	2	7.24779e-05	-1.4	-1.34236e-05
0	-5.93633e-05	2	7.38386e-05	-1.45	-1.42169e-05
0	-5.89333e-05	2	7.49017e-05	-1.5	-1.8588e-05
0	-5.60537e-05	2	7.51155e-05	-1.55	-1.70154e-05
0	-5.66418e-05	2	7.46591e-05	-1.6	-1.88415e-05
0	-5.41706e-05	2	7.5263e-05	-1.65	-2.06127e-05
0	-5.42173e-05	2	7.60081e-05	-1.7	-2.22321e-05
0	-5.33933e-05	2	7.58994e-05	-1.75	-2.31193e-05
0	-5.21024e-05	2	7.60242e-05	-1.8	-2.4114e-05
0	-5.13173e-05	2	7.66728e-05	-1.85	-2.52816e-05
0	-5.16634e-05	2	7.70627e-05	-1.9	-2.57168e-05
0	-5.10264e-05	2	7.73645e-05	-1.95	-2.64921e-05
0	-4.98992e-05	2	7.73676e-05	-2	-2.65704e-05
0	-5.00856e-05	2	7.70446e-05	-2.05	-2.82136e-05
0	-4.65709e-05	2	7.37499e-05	-2.1	-2.90334e-05
0	-4.6108e-05	2	7.61756e-05	-2.15	-2.95928e-05
0	-4.6652e-05	2	7.70155e-05	-2.2	-2.90774e-05
0	-4.65922e-05	2	7.43966e-05	-2.25	-3.08399e-05
0	-4.36e-05	2	7.57665e-05	-2.3	-3.24159e-05
0	-4.37216e-05	2	7.652e-05	-2.35	-3.34518e-05
0	-4.23701e-05	2	7.58716e-05	-2.4	-3.57219e-05
0	-4.0033e-05	2	7.6671e-05	-2.45	-3.69431e-05
0	-3.98029e-05	2	7.7271e-05	-2.5	-3.71159e-05
0	-3.99681e-05	2	7.78757e-05	-2.55	-3.75704e-05
0	-3.86859e-05	2	7.86799e-05	-2.6	-3.97431e-05
