No.	Pos. [°2Th.]	FWHM Left [°2Th.]	Area [cts*°2Th.]	Backgr.[cts]	d-spacing [Å]	Height [cts]	Shape Left	Status	Integral Breadth [°2Th.]	FWHM Right [°2Th.]	Shape Right	Obs. Lorentz B [°2Th.]	Obs. Gauss B [°2Th.]	Instr. Lorentz B [°2Th.]	Instr. Gauss B [°2Th.]	Crystallite Size [Å]	Micro Strain [%]	Crystallite Size only [Å]	Micro Strain only [%]
1	24,3279	0,1082	378,18	32,78	3,65877	3541,88	0,600	Included	0,106773	 	 	0,000261	0,106773	0,074665	0,063251	-1214,606000	0,174133	1050,447000	0,174153
2	25,5161	0,0492	2134,07	33,59	3,49102	43971,19	0,600	Included	0,048533	 	 	0,000119	0,048533	0,074549	0,063153	-1216,969000	-0,077868	28640,430000	0,006095
3	44,4646	0,1574	2,32	14,69	2,03756	14,91	0,600	Excluded	0,155307	 	 	0,000380	0,155307	0,074095	0,062771	-1294,692000	0,151642	671,757600	0,151659
4	49,9185	0,0600	97,58	29,41	1,82547	1219,77	0,600	Included	0,080000	 	 	0,052936	0,041495	0,074533	0,063143	-4508,099000	-0,044617	30785,320000	0,002965
5	50,5720	0,0720	5,23	33,98	1,80340	54,52	0,600	Excluded	0,096000	 	 	0,063523	0,049794	0,074606	0,063205	-8808,709000	-0,035955	30867,760000	0,002921
6	52,2471	0,0720	41,68	38,71	1,74945	434,18	0,600	Excluded	0,096000	 	 	0,063523	0,049794	0,074812	0,063380	-8708,664000	-0,034888	31085,740000	0,002814
7	52,5086	0,0720	4239,70	37,86	1,74136	44163,52	0,600	Included	0,096000	 	 	0,063523	0,049794	0,074847	0,063409	-8691,531000	-0,034729	31120,640000	0,002798
8	78,6064	0,2400	18,53	16,00	1,21609	57,90	0,600	Included	0,320000	 	 	0,211744	0,165981	0,082956	0,070277	885,739900	0,080152	470,407800	0,129259
9	83,1774	0,0840	250,84	18,41	1,16048	2239,63	0,600	Included	0,112000	 	 	0,074110	0,058094	0,085589	0,072506	-10281,310000	-0,021330	37316,670000	0,001555
10	116,0820	0,0960	4,52	17,24	0,90791	35,32	0,600	Included	0,128000	 	 	0,084698	0,066393	0,124506	0,105454	-4189,174000	-0,022303	52729,250000	0,000861
11	123,6573	0,2880	11,09	33,31	0,87381	28,88	0,600	Excluded	0,384000	 	 	0,254093	0,199178	0,142021	0,120284	1668,299000	0,037098	787,089500	0,055509
12	124,5835	0,0960	1259,02	34,63	0,87007	9836,10	0,600	Included	0,128000	 	 	0,084698	0,066393	0,144536	0,122414	-3172,521000	-0,023568	60025,890000	0,000725
